window,rppg_score,fft_score
30,0.7174,0.0
45,0.7777,0.0
60,0.8409,0.0
75,0.5636,0.8216
90,0.6494,0.885
105,0.526,0.9144
120,0.4671,0.9036
135,0.9299,0.9261
150,0.6111,0.9321
165,0.5837,0.9397
180,0.7796,0.9343
195,0.5486,0.9398
210,0.7626,0.944
225,0.8149,0.9394
240,0.5382,0.9425
255,0.4416,0.945
270,0.6646,0.9419
285,0.6684,0.9447
300,0.5075,0.9462
315,0.5887,0.9474
330,0.5304,0.947
345,0.7774,0.9491
360,0.4406,0.9516
375,0.8782,0.9524
390,0.5791,0.951
405,0.8541,0.9507
