window,rppg_score,fft_score
30,0.6571,0.0
45,0.6129,0.0
60,0.8695,0.0
75,0.5528,0.87
90,0.6517,0.8962
105,0.6212,0.9113
120,0.4704,0.9095
135,0.9154,0.9292
150,0.6754,0.9334
165,0.5585,0.938
180,0.8029,0.9385
195,0.5407,0.9417
210,0.734,0.9453
225,0.8233,0.9457
240,0.5235,0.9474
255,0.9439,0.9485
270,0.7125,0.9467
285,0.7278,0.9474
300,0.5137,0.9476
315,0.5224,0.9489
330,0.539,0.95
345,0.7151,0.9487
360,0.4995,0.9496
375,0.8734,0.9504
390,0.5874,0.9509
405,0.8673,0.9506
