window,rppg_score,fft_score
30,0.8742,0.0
45,0.8378,0.0
60,0.7907,0.0
75,0.4699,0.8292
90,0.749,0.9057
105,0.8682,0.918
120,0.936,0.9229
135,0.7444,0.9295
150,0.686,0.933
165,0.7097,0.9417
180,0.8969,0.9345
195,0.6859,0.9377
210,0.8273,0.9457
225,0.8398,0.9336
240,0.6784,0.9371
255,0.9521,0.9458
270,0.8189,0.9289
285,0.6359,0.9369
300,0.7675,0.9426
315,0.8837,0.9476
330,0.7516,0.9464
345,0.8635,0.9447
360,0.8801,0.9443
375,0.9704,0.9452
390,0.819,0.9467
405,0.8159,0.9476
