window,rppg_score,fft_score
30,0.6439,0.0
45,0.6697,0.0
60,0.8668,0.0
75,0.5598,0.9042
90,0.5137,0.9145
105,0.699,0.9272
120,0.4908,0.9184
135,0.9564,0.9345
150,0.6405,0.9371
165,0.6735,0.9388
180,0.7544,0.9364
195,0.6272,0.9416
210,0.6137,0.9445
225,0.7223,0.9436
240,0.6117,0.9459
255,1.0,0.9472
270,0.8085,0.9454
285,0.6016,0.9456
300,0.654,0.9465
315,0.4412,0.9461
330,0.4992,0.9474
345,0.6538,0.9464
360,0.4901,0.9474
375,0.8889,0.948
390,0.6159,0.9482
405,0.9149,0.9473
